name,value,year,last value,rank
Pilot [What We Do in the Shadows],37273,20,#N/A,3
Devil May Cry 5,36601,20,51678,4
Other,29608,20,21645,5
Days Gone,27651,20,#N/A,6
After Life,12853,20,29787,7
Activision Blizzard,12111,20,#N/A,8
Anthem,11277,20,30526,9
Captain Marvel,692111,21,437721,0
Us,78546,21,113795,1
Long Shot,56882,21,#N/A,2
Other,32109,21,29608,3
Fastlane 2019,25628,21,#N/A,4
Chokepoint,23655,21,#N/A,5
Devil May Cry 5,19395,21,36601,6
House on the Rock,17343,21,#N/A,7
Kevin Smith,15759,21,72531,8
Days Gone,15056,21,27651,9
Captain Marvel,279690,22,692111,0
Game of Thrones: Season 8,139118,22,#N/A,1
"Love, Death and Robots: Season 1",98956,22,#N/A,2
Tom Clancy's The Division 2,63676,22,#N/A,3
Devil May Cry 5,61709,22,19395,4
Harry Potter: Wizards Unite,50204,22,#N/A,5
Chokepoint,44133,22,23655,6
Long Shot,30528,22,56882,7
House on the Rock,28700,22,17343,8
Us,26479,22,78546,9
Captain Marvel,260210,23,279690,0
Tom Clancy's The Division 2,60234,23,63676,1
Apex Legends,57551,23,#N/A,2
"Love, Death and Robots: Season 1",49868,23,98956,3
Halo: Reach,46334,23,#N/A,4
Game of Thrones: Season 8,36292,23,139118,5
Good Boys,34563,23,#N/A,6
Lori Loughlin,31670,23,#N/A,7
Halo: The Master Chief Collection,31475,23,#N/A,8
Disney,28902,23,#N/A,9
Captain Marvel,95362,24,260210,0
Tom Clancy's The Division 2,95079,24,60234,1
One Piece: World Seeker,64047,24,#N/A,2
Left Alive,55698,24,#N/A,3
Venom,51009,24,#N/A,4
Sony Interactive Entertainment,43508,24,#N/A,5
Judgment,33905,24,#N/A,6
Shang-Chi,33004,24,#N/A,7
Mario,31161,24,#N/A,8
Failure is an Orphan,26472,24,#N/A,9
Avengers: Endgame,427491,25,#N/A,0
Captain Marvel,54431,25,95362,1
Tom Clancy's The Division 2,51425,25,95079,2
Captive State,42190,25,#N/A,3
Triple Frontier,42018,25,#N/A,4
Halo: The Master Chief Collection,41552,25,#N/A,5
Left Alive,41428,25,55698,6
Back 4 Blood,35850,25,#N/A,7
Middle-earth: Shadow of War,33797,25,#N/A,8
Xbox One X,25733,25,#N/A,9
Guardians of the Galaxy Vol. 3,276778,26,#N/A,0
Avengers: Endgame,179231,26,427491,1
Tom Clancy's The Division 2,120598,26,51425,2
Middle-earth: Shadow of War,63838,26,33797,3
Captain Marvel,44986,26,54431,4
No Man's Sky,40363,26,#N/A,5
"Love, Death and Robots: Season 1",36044,26,#N/A,6
Game of Thrones: Season 8,28564,26,#N/A,7
Arrested Development: Season 5,27444,26,#N/A,8
Captive State,25713,26,42190,9
Captain Marvel,141646,27,44986,0
Avengers: Endgame,107906,27,179231,1
Guardians of the Galaxy Vol. 3,68297,27,276778,2
Tom Clancy's The Division 2,66853,27,120598,3
The Curse of La Llorona,61325,27,#N/A,4
"Love, Death and Robots",48944,27,#N/A,5
"Love, Death and Robots: Season 1",27937,27,36044,6
Arrested Development: Season 5,21989,27,27444,7
Middle-earth: Shadow of War,20625,27,63838,8
Dragon Ball FighterZ,19893,27,#N/A,9
Captain Marvel,172820,28,141646,0
Pet Sematary,98102,28,#N/A,1
Ant-Man and the Wasp,71698,28,#N/A,2
Avengers: Endgame,48899,28,107906,3
Guardians of the Galaxy Vol. 3,47571,28,68297,4
Tom Clancy's The Division 2,47317,28,66853,5
"Love, Death and Robots",44540,28,48944,6
The Curse of La Llorona,31812,28,61325,7
Scars,22933,28,#N/A,8
Arrested Development: Season 5,20904,28,21989,9
Avengers: Endgame,150597,29,48899,0
The Suicide Squad,97190,29,#N/A,1
Captain Marvel,95072,29,172820,2
Apex Legends,70058,29,#N/A,3
Pet Sematary,70030,29,98102,4
Borderlands 3,45993,29,#N/A,5
Scars,42625,29,22933,6
Avengers: Infinity War,40192,29,#N/A,7
How to Be Single,38413,29,#N/A,8
Once Upon a Time in Hollywood,36519,29,#N/A,9
Google Stadia,259301,30,#N/A,0
Google,252517,30,#N/A,1
Avengers: Endgame,250582,30,150597,2
Wolverine,92149,30,#N/A,3
Tom Clancy's The Division 2,77541,30,#N/A,4
Disney,56567,30,#N/A,5
Netflix,43415,30,#N/A,6
Captain Marvel,37312,30,95072,7
John Wick: Chapter 3 - Parabellum,30792,30,#N/A,8
The Batman,27990,30,#N/A,9
