name,value,year,last value,rank
Spider-Man: Far From Home,202612,14,160080,0
James Bond 25,184526,14,#N/A,1
Avengers: Infinity War,129502,14,56965,2
Stranger Things,118593,14,262980,3
WWE [PPVs],49938,14,#N/A,4
Control,46837,14,35378,5
The Lion King,43406,14,#N/A,6
Nintendo Switch Lite,37013,14,79364,7
Pokemon Sword,36330,14,#N/A,8
Other,27860,14,#N/A,9
Teenage Mutant Ninja Turtles (IDW),177624,15,#N/A,0
Spider-Man: Far From Home,78914,15,202612,1
Stranger Things,69864,15,118593,2
Dark Nights: Metal,63628,15,#N/A,3
Assassin's Creed [2020],63214,15,#N/A,4
James Bond 25,55109,15,184526,5
Other,53738,15,27860,6
Star Wars: The Mandalorian,42619,15,#N/A,7
Avengers: Infinity War,38794,15,129502,8
Supergirl,36171,15,#N/A,9
Marvel Legends (Hasbro),194915,16,#N/A,0
Teenage Mutant Ninja Turtles (IDW),129053,16,177624,1
Thor: Ragnarok,114520,16,#N/A,2
The Witcher,87205,16,#N/A,3
13 Reasons Why,63992,16,#N/A,4
Supergirl,55564,16,36171,5
Spider-Man: Far From Home,50752,16,78914,6
Borderlands 3,47489,16,#N/A,7
Assassin's Creed [2020],44661,16,63214,8
Stranger Things,38886,16,69864,9
Star Wars: The Rise of Skywalker,376045,17,#N/A,0
Nintendo Switch,303968,17,#N/A,1
Game of Thrones,181700,17,#N/A,2
The Expanse,176396,17,#N/A,3
The Witcher,103430,17,87205,4
Marvel's Daredevil,87739,17,#N/A,5
Spider-Man: Far From Home,83272,17,50752,6
Luigi's Mansion 3,71182,17,#N/A,7
Final Fantasy VII Remake,63235,17,#N/A,8
Fortnite,55245,17,#N/A,9
